,mails,categories(1:spam;0:ham)
10,中信（国际）电子科技有限公司推出新产品： 升职步步高、做生意发大财、连找情人都用的上，详情进入 网  址:  http://www.usa5588.com/ccc 电话：020-33770208   服务热线：013650852999,1
11,中信（国际）电子科技有限公司推出新产品： 升职步步高、做生意发大财、连找情人都用的上，详情进入 网  址:  http://www.usa5588.com/ccc 电话：020-33770208   服务热线：013650852999,1
12,中信（国际）电子科技有限公司推出新产品： 升职步步高、做生意发大财、连找情人都用的上，详情进入 网  址:  http://www.usa5588.com/ccc 电话：020-33770208   服务热线：013650852999,1
13,您好！ 我公司有多余的发票可以向外代开！（国税、地税、运输、广告、海关缴款书）。 如果贵公司（厂）有需要请来电洽谈、咨询！ 联系电话：(0)13927438842  罗先生 谢谢！ 顺祝商祺!,1
14,中信（国际）电子科技有限公司推出新产品： 升职步步高、做生意发大财、连找情人都用的上，详情进入 网  址:  http://www.usa5588.com/ccc 电话：020-33770208   服务热线：013650852999,1
15,北方IDC咨询 网上商城交流 建站案例欣赏 电影网站程序免费送 实用软件 QQ挂机 电影论坛 亿网中网首页 1 财富不是朋友，朋友才是财富 IFRAME: http://www.ewzw.com,1
16,亲爱的朋友： 你好！！ 在各位朋友的支持下，JEHO音乐网改版了！！改版后的速度更快，功能更多，界面更漂亮！ 网址没变，还是：http://music.jeho.com.cn 也欢迎您对本站提出您的意见和建议，让咱们共同把它建立成为一个适合您使用的网站吧！ COOLFISH,1
17,点击进入查看产品详细信息,1
18,代办发票13430255809  代办发票13430255809  代办发票13430255809  代办发票13430255809  代办发票13430255809  代办发票13430255809  代办发票13430255809  代办发票13430255809  代办发票13430255809  代办发票13430255809  代办发票13430255809  代办发票13430255809  代办发票13430255809  代办发票13430255809  代办发票13430255809  代办发票13430255809金钱诈骗术13430255809,1
19,"您好; 我公司属于一家保税企业单位,由于有些客户交货不需开税票,古富余部分 ｛国税普通.增值.运输与地税}等税票可向外优惠代开,详情可来电洽谈！ {部分发票可验证通过再付款}！ 移动电话:13590169955 电话:0755-81995454 传真:0755-81995454 联系人:陈晓康{经理} 祝: 深圳市创伟业实业有限公司 商祺！",1
